	0	1	2	3	4	5	6
164	165	Крышки для ПЭТ 100 мл черные	INIT_BASE_CODE_OLIGO_LAB_0000115	4.0	2024-06-12	10:05:59	1783121115
165	166	HEX Dye Amidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000128	0.15	2024-06-12	12:39:32	1848570232
166	167	5’-Fluorescein Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000129	0.1	2024-06-12	12:39:32	1848570232
167	168	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-06-12	13:48:15	1848570232
168	169	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-06-13	12:55:49	1783121115
169	170	Виалы для LCMS темные	INIT_BASE_CODE_OLIGO_LAB_0000034	1.0	2024-06-13	13:44:47	1783121115
170	171	крышки для виалы LCMS	INIT_BASE_CODE_OLIGO_LAB_0000062	1.0	2024-06-13	13:45:20	1783121115
171	172	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-06-17	12:27:14	1848570232
172	173	Ацетонитрил. Extra Dry	INIT_BASE_CODE_OLIGO_LAB_0000002	1.0	2024-06-20	12:18:17	1848570232
173	174	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-06-20	12:23:22	1783121115
174	175	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-07-01	09:41:54	1783121115
175	176	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-07-01	10:14:35	1848570232
176	177	Ацетонитрил. Extra Dry	INIT_BASE_CODE_OLIGO_LAB_0000002	1.0	2024-07-01	10:14:35	1848570232
177	178	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	1.0	2024-07-01	13:57:20	1848570232
178	179	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	1.0	2024-07-01	13:57:20	1848570232
179	180	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	0.5	2024-07-04	13:56:53	1848570232
180	181	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	0.5	2024-07-04	13:56:53	1848570232
181	182	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	1.5	2024-07-08	14:02:25	1848570232
182	183	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	3.0	2024-07-08	14:02:25	1848570232
183	184	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	1.5	2024-07-08	14:02:25	1848570232
184	185	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	1.5	2024-07-08	14:02:25	1848570232
185	186	HEX Dye Amidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000128	0.15	2024-07-08	14:02:25	1848570232
186	187	Универсальное CPG тип I, 500A	INIT_BASE_CODE_OLIGO_LAB_0000138	0.15	2024-07-08	14:03:40	1848570232
187	188	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-07-08	14:35:44	1783121115
188	189	5’-Fluorescein Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000129	0.1	2024-07-09	12:07:57	1848570232
189	190	DusQ 1 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000137	0.017	2024-07-09	12:08:56	1848570232
190	191	Универсальное CPG тип II, 500A	INIT_BASE_CODE_OLIGO_LAB_0000141	0.02	2024-07-09	12:08:56	1848570232
191	192	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-07-09	13:52:50	1783121115
192	193	Ацетонитрил. Extra Dry	INIT_BASE_CODE_OLIGO_LAB_0000002	1.0	2024-07-11	10:45:29	1848570232
